 ID, Name, Parameters, Thread, Context, % Shaders Busy, Clocks
,glUniform4fv,( location = 48; count = 10; value = 0x444488096 ),0x65CD,77,,
,glUniform4fv,( location = 58; count = 3; value = 0x906426560 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 48; value = 0x418362248 ),0x65CD,77,,
,glUniform4fv,( location = 62; count = 8; value = 0x853614072 ),0x65CD,77,,
,glBindVertexArray,( array = 9 ),0x65CD,77,,
12,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 240; type = GL_UNSIGNED_SHORT; primcount = 4; indices =       3288 ),0x65CD,77,33.85,9402
,glUseProgram,( program = 1668 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE0 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11423 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE1 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 0 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE2 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 0 ),0x65CD,77,,
,glUniform4fv,( location = 50; count = 8; value = 0x853612168 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 2; value = 0x954098216 ),0x65CD,77,,
,glUniform4fv,( location = 59; count = 2; value = 0x954098256 ),0x65CD,77,,
,glUniform4fv,( location = 58; count = 1; value = 0x169156448 ),0x65CD,77,,
,glUniform4fv,( location = 4; count = 44; value = 0x334959688 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893183856 ),0x65CD,77,,
,glUniform4fv,( location = 67; count = 2; value = 0x954097496 ),0x65CD,77,,
,glUniform4fv,( location = 62; count = 5; value = 0x881686152 ),0x65CD,77,,
,glBindVertexArray,( array = 10 ),0x65CD,77,,
13,glDrawElements,( mode = GL_TRIANGLES; count = 8124; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,46.12,10803
,glUseProgram,( program = 1669 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE0 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11241 ),0x65CD,77,,
,glUniform4fv,( location = 49; count = 12; value = 0x862181000 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 1; value = 0x169156088 ),0x65CD,77,,
,glUniform4fv,( location = 62; count = 2; value = 0x954097936 ),0x65CD,77,,
,glUniform4fv,( location = 61; count = 1; value = 0x169156448 ),0x65CD,77,,
,glUniform4fv,( location = 4; count = 44; value = 0x334955416 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893183784 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156592 ),0x65CD,77,,
,glUniform4fv,( location = 71; count = 2; value = 0x954098216 ),0x65CD,77,,
,glUniform4fv,( location = 66; count = 5; value = 0x881686152 ),0x65CD,77,,
,glBindVertexArray,( array = 11 ),0x65CD,77,,
14,glDrawElements,( mode = GL_TRIANGLES; count = 44817; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,84.99,35233
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11481 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156592 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156184 ),0x65CD,77,,
,glBindVertexArray,( array = 12 ),0x65CD,77,,
15,glDrawElements,( mode = GL_TRIANGLES; count = 948; type = GL_UNSIGNED_SHORT; indices = 0x95532 ),0x65CD,77,40.67,10091
16,glDrawElements,( mode = GL_TRIANGLES; count = 408; type = GL_UNSIGNED_SHORT; indices = 0x103104 ),0x65CD,77,27.75,9005
17,glDrawElements,( mode = GL_TRIANGLES; count = 13035; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,63.51,15037
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11232 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156304 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156232 ),0x65CD,77,,
,glBindVertexArray,( array = 13 ),0x65CD,77,,
18,glDrawElements,( mode = GL_TRIANGLES; count = 4959; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,69.27,18543
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11472 ),0x65CD,77,,
,glUniform4fv,( location = 4; count = 44; value = 0x334955416 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893183424 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156328 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156448 ),0x65CD,77,,
,glBindVertexArray,( array = 14 ),0x65CD,77,,
19,glDrawElements,( mode = GL_TRIANGLES; count = 30969; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,76.75,23038
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11461 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156688 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156784 ),0x65CD,77,,
,glBindVertexArray,( array = 15 ),0x65CD,77,,
20,glDrawElements,( mode = GL_TRIANGLES; count = 80073; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,90.69,57875
,glUseProgram,( program = 1670 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 10938 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE1 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11477 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 13; value = 0x973999808 ),0x65CD,77,,
,glUniform4fv,( location = 61; count = 3; value = 0x906426392 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 48; value = 0x418369232 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156352 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156232 ),0x65CD,77,,
,glUniform4fv,( location = 66; count = 8; value = 0x853613664 ),0x65CD,77,,
,glUniform4fv,( location = 74; count = 4; value = 0x893183424 ),0x65CD,77,,
,glBindVertexArray,( array = 16 ),0x65CD,77,,
21,glDrawElements,( mode = GL_TRIANGLES; count = 7716; type = GL_UNSIGNED_SHORT; indices = 0x195678 ),0x65CD,77,57.84,13845
22,glDrawElements,( mode = GL_TRIANGLES; count = 216; type = GL_UNSIGNED_SHORT; indices = 0x230958 ),0x65CD,77,4.19,6974
23,glDrawElements,( mode = GL_TRIANGLES; count = 57378; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,90.67,54796
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11479 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156448 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156568 ),0x65CD,77,,
,glUniform4fv,( location = 74; count = 4; value = 0x893182992 ),0x65CD,77,,
,glBindVertexArray,( array = 17 ),0x65CD,77,,
24,glDrawElements,( mode = GL_TRIANGLES; count = 4905; type = GL_UNSIGNED_SHORT; indices = 0x136680 ),0x65CD,77,60.26,13836
25,glDrawElements,( mode = GL_TRIANGLES; count = 1758; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,52.13,12333
,glUseProgram,( program = 1671 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE0 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11484 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE1 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11493 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE2 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11491 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 13; value = 0x974001320 ),0x65CD,77,,
,glUniform4fv,( location = 61; count = 3; value = 0x906426168 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 48; value = 0x418365352 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156328 ),0x65CD,77,,
,glUniform4fv,( location = 66; count = 7; value = 0x856081368 ),0x65CD,77,,
,glUniform4fv,( location = 73; count = 8; value = 0x853611896 ),0x65CD,77,,
,glBindVertexArray,( array = 18 ),0x65CD,77,,
26,glDrawElements,( mode = GL_TRIANGLES; count = 27177; type = GL_UNSIGNED_SHORT; indices = 0x3516 ),0x65CD,77,87.03,39189
,glActiveTexture,( texture = GL_TEXTURE1 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11489 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE2 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11488 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156784 ),0x65CD,77,,
,glUniform4fv,( location = 73; count = 8; value = 0x853612304 ),0x65CD,77,,
,glBindVertexArray,( array = 19 ),0x65CD,77,,
27,glDrawElements,( mode = GL_TRIANGLES; count = 1530; type = GL_UNSIGNED_SHORT; indices = 0x58698 ),0x65CD,77,50.75,12255
,glUseProgram,( program = 1672 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE0 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11485 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE1 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11484 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE2 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11457 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE16 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 11457 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 13; value = 0x974004128 ),0x65CD,77,,
,glUniform4fv,( location = 61; count = 3; value = 0x906426672 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 48; value = 0x418364576 ),0x65CD,77,,
,glUniform4fv,( location = 70; count = 7; value = 0x856080408 ),0x65CD,77,,
,glBindVertexArray,( array = 20 ),0x65CD,77,,
28,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 978; type = GL_UNSIGNED_SHORT; primcount = 3; indices =          0 ),0x65CD,77,46.69,11995
,glUseProgram,( program = 1673 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE0 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 0 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D_ARRAY; texture = 11284 ),0x65CD,77,,
,glBindSampler,( unit = 0; sampler = 4 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE1 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 0 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE2 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 0 ),0x65CD,77,,
,glActiveTexture,( texture = GL_TEXTURE16 ),0x65CD,77,,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 0 ),0x65CD,77,,
,glUniform4fv,( location = 49; count = 12; value = 0x862181400 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 1; value = 0x169156568 ),0x65CD,77,,
,glUniform4fv,( location = 62; count = 2; value = 0x954097496 ),0x65CD,77,,
,glUniform4fv,( location = 61; count = 1; value = 0x169156472 ),0x65CD,77,,
,glUniform4fv,( location = 4; count = 44; value = 0x334952568 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893183352 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156160 ),0x65CD,77,,
,glUniform4fv,( location = 151; count = 2; value = 0x954097496 ),0x65CD,77,,
,glUniform4fv,( location = 146; count = 5; value = 0x881684744 ),0x65CD,77,,
,glBindVertexArray,( array = 21 ),0x65CD,77,,
29,glDrawElements,( mode = GL_TRIANGLES; count = 1242; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,34.43,9729
,glUniform4uiv,( location = 64; count = 1; value = 0x169156136 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156640 ),0x65CD,77,,
,glBindVertexArray,( array = 22 ),0x65CD,77,,
30,glDrawElements,( mode = GL_TRIANGLES; count = 9027; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,70.58,17925
,glUniform4fv,( location = 4; count = 44; value = 0x334953280 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893183568 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156688 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156160 ),0x65CD,77,,
,glBindVertexArray,( array = 23 ),0x65CD,77,,
31,glDrawElements,( mode = GL_TRIANGLES; count = 8589; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,70.64,18200
,glUniform4uiv,( location = 64; count = 1; value = 0x169156304 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156760 ),0x65CD,77,,
,glBindVertexArray,( array = 24 ),0x65CD,77,,
32,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 873; type = GL_UNSIGNED_SHORT; primcount = 3; indices =          0 ),0x65CD,77,49.97,11373
,glUniform4fv,( location = 4; count = 44; value = 0x334961112 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893183064 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156568 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156232 ),0x65CD,77,,
,glBindVertexArray,( array = 25 ),0x65CD,77,,
33,glDrawElements,( mode = GL_TRIANGLES; count = 8460; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,66.22,16190
,glUniform4uiv,( location = 64; count = 1; value = 0x169156328 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156760 ),0x65CD,77,,
,glBindVertexArray,( array = 26 ),0x65CD,77,,
34,glDrawElements,( mode = GL_TRIANGLES; count = 7188; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,70.87,20206
,glUniform4fv,( location = 4; count = 44; value = 0x334952568 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893183712 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156784 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156304 ),0x65CD,77,,
,glBindVertexArray,( array = 27 ),0x65CD,77,,
35,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 8073; type = GL_UNSIGNED_SHORT; primcount = 2; indices =          0 ),0x65CD,77,80.68,27978
,glUniform4uiv,( location = 64; count = 1; value = 0x169156448 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156760 ),0x65CD,77,,
,glBindVertexArray,( array = 28 ),0x65CD,77,,
36,glDrawElements,( mode = GL_TRIANGLES; count = 180; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,16.75,8624
,glUniform4uiv,( location = 64; count = 1; value = 0x169156784 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156448 ),0x65CD,77,,
,glBindVertexArray,( array = 29 ),0x65CD,77,,
37,glDrawElements,( mode = GL_TRIANGLES; count = 144; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,10.85,8167
,glUniform4fv,( location = 4; count = 44; value = 0x334949720 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893183712 ),0x65CD,77,,
,glUniform4uiv,( location = 64; count = 1; value = 0x169156208 ),0x65CD,77,,
,glUniform4iv,( location = 65; count = 1; value = 0x169156352 ),0x65CD,77,,
,glBindVertexArray,( array = 30 ),0x65CD,77,,
38,glDrawElements,( mode = GL_TRIANGLES; count = 1320; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x65CD,77,44.9,10239
,glUseProgram,( program = 1674 ),0x65CD,77,,
,glUniform4fv,( location = 50; count = 8; value = 0x853613528 ),0x65CD,77,,
,glUniform4fv,( location = 48; count = 2; value = 0x954098136 ),0x65CD,77,,
,glUniform4fv,( location = 59; count = 2; value = 0x954097856 ),0x65CD,77,,
,glUniform4fv,( location = 58; count = 1; value = 0x169156160 ),0x65CD,77,,
,glUniform4fv,( location = 4; count = 44; value = 0x334950432 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893184360 ),0x65CD,77,,
,glUniform4fv,( location = 147; count = 2; value = 0x954097496 ),0x65CD,77,,
,glUniform4fv,( location = 142; count = 5; value = 0x881686328 ),0x65CD,77,,
,glBindVertexArray,( array = 31 ),0x65CD,77,,
39,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 510; type = GL_UNSIGNED_SHORT; primcount = 3; indices =          0 ),0x65CD,77,34.93,9378
,glUniform4iv,( location = 61; count = 1; value = 0x169156568 ),0x65CD,77,,
,glBindVertexArray,( array = 32 ),0x65CD,77,,
40,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 510; type = GL_UNSIGNED_SHORT; primcount = 4; indices =          0 ),0x65CD,77,37.75,9494
,glUniform4fv,( location = 4; count = 44; value = 0x334961112 ),0x65CD,77,,
,glUniform4fv,( location = 0; count = 4; value = 0x893184072 ),0x65CD,77,,
,glUniform4iv,( location = 61; count = 1; value = 0x169156208 ),0x65CD,77,,
41,glDrawElementsInstanced,( mode = GL_TRIANGLES; count = 510; type = GL_UNSIGNED_SHORT; primcount = 4; indices =          0 ),0x65CD,77,40.11,9695
,glUniform4fv,( location = 4; count = 44; value = 0x334959688 ),0x65CD,77,,
